SAMPID,SMATSSCR,SMCENTER,SMPTHNTS,SMRIN,SMTS,SMTSD,SMUBRID,SMTSISCH,SMTSPAX,SMNABTCH,SMNABTCHT,SMNABTCHD,SMGEBTCH,SMGEBTCHD,SMGEBTCHT,SMAFRZE,SMGTC,SME2MPRT,SMCHMPRS,SMNTRART,SMNUMGPS,SMMAPRT,SMEXNCRT,SM550NRM,SMGNSDTC,SMUNMPRT,SM350NRM,SMRDLGTH,SMMNCPB,SME1MMRT,SMSFLGTH,SMESTLBS,SMMPPD,SMNTERRT,SMRRNANM,SMRDTTL,SMVQCFL,SMMNCV,SMTRSCPT,SMMPPDPR,SMCGLGTH,SMGAPPCT,SMUNPDRD,SMNTRNRT,SMMPUNRT,SMEXPEFF,SMMPPDUN,SME2MMRT,SME2ANTI,SMALTALG,SME2SNSE,SMMFLGTH,SME1ANTI,SMSPLTRD,SMBSMMRT,SME1SNSE,SME1PCTS,SMRRNART,SME1MPRT,SMNUM5CD,SMDPMPRT,SME2PCTS
GTEX-14A5I-0005-SM-5N9FU,,C1,,8.8,Blood,Whole Blood,13756,707,,BP-46147,RNA isolation_PAXgene Blood RNA (Manual),11/25/2013,LCSET-4905,03/23/2014,TruSeq.v1,RNASEQ,,0.961127,634772,0.974308,,0.962758,0.78557,,18996,1,,76,,0.00427056,114,0,9.71E+07,0.0244112,208224,1.01E+08,4.85E+06,,19006,4.83E+07,,,0,0.188739,0.962758,0.756313,9.71E+07,0.00428901,2.26E+07,1.45E+08,2.29E+07,150,2.29E+07,2.47E+07,0.00427977,2.28E+07,49.8385,0.00206543,0.964389,,0,50.3561
GTEX-14A6H-0006-SM-5NQ7W,,B1,,8.6,Blood,Whole Blood,13756,428,,BP-46147,RNA isolation_PAXgene Blood RNA (Manual),11/25/2013,LCSET-4906,03/22/2014,TruSeq.v1,RNASEQ,,0.986685,560459,0.962354,,0.988239,0.767566,,19557,1,,76,,0.00277478,108,0,6.22E+07,0.0363585,152196,6.29E+07,5.09E+06,,19572,3.09E+07,,,0,0.194789,0.988239,0.758539,6.22E+07,0.00400424,1.39E+07,4.58E+07,1.40E+07,118,1.41E+07,1.22E+07,0.00338854,1.40E+07,49.8423,0.00241925,0.989794,,0,50.3439
GTEX-14ABY-0005-SM-5O99U,,B1,,7.5,Blood,Whole Blood,13756,1168,,BP-46281,RNA isolation_PAXgene Blood RNA (Manual),11/27/2013,LCSET-4909,03/20/2014,TruSeq.v1,RNASEQ,,0.95898,1.67E+06,0.813677,,0.962476,0.587211,,15786,1,,76,,0.00240414,100,0,3.28E+07,0.185739,186083,3.41E+07,4.76E+06,,15791,1.63E+07,,,0,0.226466,0.962476,0.565176,3.28E+07,0.00456098,6.13E+06,7.75E+07,6.42E+06,120,6.42E+06,4.87E+06,0.00347864,6.30E+06,49.5027,0.00546377,0.965972,,0,51.1933
GTEX-14AS3-0006-SM-5NQC2,,B1,,8.3,Blood,Whole Blood,13756,-1,,BP-46281,RNA isolation_PAXgene Blood RNA (Manual),11/27/2013,LCSET-4907,03/21/2014,TruSeq.v1,RNASEQ,,0.986627,694432,0.951788,,0.989371,0.748722,,21852,1,,76,,0.00251364,149,0,9.13E+07,0.0475859,226824,9.23E+07,1.22E+07,,21882,4.54E+07,,,0,0.203066,0.989371,0.740764,9.13E+07,0.00544965,1.99E+07,4.65E+07,2.01E+07,172,2.01E+07,1.66E+07,0.00397758,2.01E+07,50.0281,0.00245875,0.992115,,0,50.2427
GTEX-14B4R-0006-SM-5O9A7,,B1,,7.6,Blood,Whole Blood,13756,-324,,BP-46281,RNA isolation_PAXgene Blood RNA (Manual),11/27/2013,LCSET-4909,03/20/2014,TruSeq.v1,RNASEQ,,0.981439,790122,0.948088,,0.985574,0.76259,,19952,1,,76,,0.00251879,143,0,9.09E+07,0.051195,201872,9.22E+07,1.25E+07,,19974,4.51E+07,,,0,0.185498,0.985574,0.751589,9.09E+07,0.00448086,1.94E+07,5.80E+07,1.97E+07,166,1.97E+07,1.79E+07,0.00349571,1.98E+07,50.0731,0.00218956,0.989708,,0,50.4312
GTEX-14BIL-0006-SM-5N9F2,,B1,,8.9,Blood,Whole Blood,13756,617,,BP-46330,RNA isolation_PAXgene Blood RNA (Manual),12/01/2013,LCSET-4905,03/23/2014,TruSeq.v1,RNASEQ,,0.974955,2.05E+06,0.941742,,0.976572,0.765396,,17841,1,,76,,0.00427465,109,0,9.90E+07,0.0571898,293081,1.01E+08,5.13E+06,,17845,4.92E+07,,,0,0.176346,0.976572,0.747465,9.90E+07,0.00427964,2.24E+07,1.77E+08,2.28E+07,148,2.27E+07,2.56E+07,0.00427714,2.26E+07,49.8886,0.00289017,0.978189,,0,50.3879
GTEX-14BIM-0006-SM-5O9AA,,B1,,7.3,Blood,Whole Blood,13756,1210,,BP-46330,RNA isolation_PAXgene Blood RNA (Manual),12/01/2013,LCSET-4909,03/20/2014,TruSeq.v1,RNASEQ,,0.987377,1.15E+06,0.940439,,0.990263,0.74285,,18679,1,,76,,0.00239418,122,0,6.96E+07,0.0591923,585305,7.03E+07,9.18E+06,,18690,3.46E+07,,,0,0.19759,0.990263,0.735617,6.96E+07,0.0041067,1.51E+07,6.58E+07,1.52E+07,132,1.52E+07,1.32E+07,0.00324795,1.53E+07,50.1231,0.00833027,0.993149,,0,50.2697
GTEX-14BIN-0005-SM-5N9FE,,B1,,8.8,Blood,Whole Blood,13756,826,,BP-46330,RNA isolation_PAXgene Blood RNA (Manual),12/01/2013,LCSET-4905,03/23/2014,TruSeq.v1,RNASEQ,,0.987817,1.07E+06,0.95449,,0.98934,0.719481,,21100,1,,76,,0.00451256,131,0,7.77E+07,0.044981,211794,7.85E+07,3.78E+06,,21123,3.86E+07,,,0,0.235009,0.98934,0.711811,7.77E+07,0.0045345,1.71E+07,4.51E+07,1.72E+07,139,1.72E+07,1.39E+07,0.00452351,1.73E+07,50.0728,0.00269818,0.990862,,0,50.0812
GTEX-14BMU-0006-SM-5MR3T,,B1,,9.1,Blood,Whole Blood,13756,1391,,BP-46725,RNA isolation_PAXgene Blood RNA (Manual),12/06/2013,LCSET-4902,03/22/2014,TruSeq.v1,RNASEQ,,0.989289,570844,0.961829,,0.989742,0.792581,,18595,1,,76,,0.00297387,116,0,8.04E+07,0.0377378,178534,8.13E+07,3.01E+06,,18604,4.01E+07,,,0,0.169248,0.989742,0.784451,8.04E+07,0.00310753,1.80E+07,6.90E+07,1.82E+07,142,1.82E+07,1.77E+07,0.00304067,1.81E+07,49.9237,0.00219668,0.990195,,0,50.1754
GTEX-14BMV-0005-SM-5NQ6Y,,C1,,8.7,Blood,Whole Blood,13756,489,,BP-46725,RNA isolation_PAXgene Blood RNA (Manual),12/06/2013,LCSET-4906,03/22/2014,TruSeq.v1,RNASEQ,,0.991985,690118,0.960827,,0.993595,0.755934,,20476,1,,76,,0.00234953,118,0,7.30E+07,0.0386305,171603,7.34E+07,5.43E+06,,20502,3.63E+07,,,0,0.204893,0.993595,0.751093,7.30E+07,0.00339666,1.62E+07,4.27E+07,1.63E+07,139,1.63E+07,1.40E+07,0.00287224,1.64E+07,50.0635,0.00233633,0.995206,,0,50.1303
GTEX-14C38-0006-SM-5NQBF,,B1,,8.3,Blood,Whole Blood,13756,341,,BP-46725,RNA isolation_PAXgene Blood RNA (Manual),12/06/2013,LCSET-4907,03/21/2014,TruSeq.v1,RNASEQ,,0.966198,263874,0.984399,,0.969297,0.819344,,17412,1,,76,,0.00261717,112,0,8.13E+07,0.0137065,360854,8.39E+07,1.22E+07,,17415,4.04E+07,,,0,0.165055,0.969297,0.794188,8.13E+07,0.0056756,1.91E+07,1.10E+08,1.92E+07,140,1.92E+07,2.16E+07,0.00414149,1.93E+07,50.1631,0.00430029,0.972396,,0,50.1817
GTEX-14C39-0005-SM-5NQBR,,B1,,8.1,Blood,Whole Blood,13756,657,,BP-46725,RNA isolation_PAXgene Blood RNA (Manual),12/06/2013,LCSET-4907,03/21/2014,TruSeq.v1,RNASEQ,,0.956909,331106,0.982031,,0.95915,0.814824,,17949,1,,76,,0.00206139,114,0,9.03E+07,0.0154895,254797,9.42E+07,1.26E+07,,17954,4.49E+07,,,0,0.167208,0.95915,0.781538,9.03E+07,0.00504099,2.13E+07,1.49E+08,2.16E+07,149,2.15E+07,2.55E+07,0.00354771,2.16E+07,50.1565,0.00270614,0.961391,,0,50.3703
GTEX-14C5O-0005-SM-5P9ER,,C1,,6.9,Blood,Whole Blood,13756,522,,BP-46725,RNA isolation_PAXgene Blood RNA (Manual),12/06/2013,LCSET-4914,03/27/2014,TruSeq.v1,RNASEQ,,0.944208,345148,0.988627,,0.944994,0.827206,,17112,1,,76,,0.00303995,260,0,1.54E+08,0.00978736,390089,1.63E+08,5.50E+06,,17114,7.66E+07,,,0,0.161422,0.944994,0.781705,1.54E+08,0.00387866,3.69E+07,3.08E+08,3.79E+07,279,3.78E+07,4.84E+07,0.00345896,3.72E+07,49.5999,0.00239519,0.945781,,0,50.6964
GTEX-14DAQ-0005-SM-5NQ7B,,C1,,8.6,Blood,Whole Blood,13756,410,,BP-46725,RNA isolation_PAXgene Blood RNA (Manual),12/06/2013,LCSET-4906,03/22/2014,TruSeq.v1,RNASEQ,,0.991858,574549,0.966741,,0.993101,0.735559,,21485,1,,76,,0.0023821,138,0,8.41E+07,0.0327155,384648,8.47E+07,6.58E+06,,21509,4.19E+07,,,0,0.231181,0.993101,0.730485,8.41E+07,0.00324371,1.87E+07,4.15E+07,1.90E+07,162,1.90E+07,1.53E+07,0.00281236,1.88E+07,49.7851,0.00454186,0.994345,,0,50.3613
GTEX-14DAR-0006-SM-5N9GC,,B1,,8.9,Blood,Whole Blood,13756,-167,,BP-46725,RNA isolation_PAXgene Blood RNA (Manual),12/06/2013,LCSET-4905,03/23/2014,TruSeq.v1,RNASEQ,,0.981521,789700,0.962056,,0.982898,0.797129,,19828,1,,76,,0.00416208,198,0,1.07E+08,0.0375397,203743,1.09E+08,5.02E+06,,19845,5.31E+07,,,0,0.164928,0.982898,0.783496,1.07E+08,0.0040746,2.38E+07,9.01E+07,2.41E+07,242,2.41E+07,2.37E+07,0.0041184,2.40E+07,49.871,0.00187506,0.984274,,0,50.2847
GTEX-14E1K-0006-SM-5N9DY,,B1,,8.7,Blood,Whole Blood,13756,-91,,BP-46725,RNA isolation_PAXgene Blood RNA (Manual),12/06/2013,LCSET-4905,03/23/2014,TruSeq.v1,RNASEQ,,0.986333,857750,0.96415,,0.988177,0.804175,,20080,1,,76,,0.00456314,207,0,1.12E+08,0.0352356,335816,1.13E+08,5.83E+06,,20094,5.55E+07,,,0,0.159975,0.988177,0.794667,1.12E+08,0.00493625,2.48E+07,6.51E+07,2.50E+07,228,2.51E+07,2.36E+07,0.00474934,2.50E+07,49.8912,0.00296968,0.990021,,0,50.2683
GTEX-14E6C-0005-SM-5O98N,,C1,,7.9,Blood,Whole Blood,13756,857,,BP-46767,RNA isolation_PAXgene Blood RNA (Manual),12/09/2013,LCSET-4909,03/20/2014,TruSeq.v1,RNASEQ,,0.982789,485442,0.972639,,0.988706,0.737549,,19755,1,,76,,0.0023618,120,0,6.90E+07,0.0269363,185458,6.98E+07,1.01E+07,,19781,3.42E+07,,,0,0.235091,0.988706,0.729219,6.90E+07,0.00444156,1.54E+07,3.56E+07,1.56E+07,129,1.57E+07,1.32E+07,0.00339545,1.57E+07,49.9897,0.00265682,0.994624,,0,50.2646
GTEX-14E6D-0005-SM-5N9D7,,B1,,8.9,Blood,Whole Blood,13756,589,,BP-46767,RNA isolation_PAXgene Blood RNA (Manual),12/09/2013,LCSET-4904,03/22/2014,TruSeq.v1,RNASEQ,,0.989727,487273,0.96949,,0.990876,0.743372,,20497,1,,76,,0.00307195,120,0,7.56E+07,0.030007,166867,7.63E+07,3.49E+06,,20518,3.76E+07,,,0,0.226117,0.990876,0.73659,7.56E+07,0.00368705,1.71E+07,5.16E+07,1.72E+07,132,1.72E+07,1.54E+07,0.00337914,1.72E+07,49.9485,0.00218793,0.992025,,0,50.2107
GTEX-14E6E-0006-SM-5MR5N,,B1,,9.1,Blood,Whole Blood,13756,-109,,BP-46767,RNA isolation_PAXgene Blood RNA (Manual),12/09/2013,LCSET-4902,03/22/2014,TruSeq.v1,RNASEQ,,0.993995,557593,0.959934,,0.994426,0.789715,,18918,1,,76,,0.003034,199,0,9.16E+07,0.0396207,243744,9.22E+07,3.50E+06,,18934,4.57E+07,,,0,0.170219,0.994426,0.785313,9.16E+07,0.00301969,1.99E+07,2.65E+07,2.00E+07,220,2.00E+07,1.77E+07,0.00302685,2.00E+07,49.8969,0.00264477,0.994857,,0,50.1601
GTEX-14E7W-0006-SM-5N9GG,,C1,,8.8,Blood,Whole Blood,13756,1069,,BP-46767,RNA isolation_PAXgene Blood RNA (Manual),12/09/2013,LCSET-4905,03/23/2014,TruSeq.v1,RNASEQ,,0.975843,380949,0.980729,,0.977585,0.767085,,20797,1,,76,,0.00435955,129,0,9.12E+07,0.0185476,191858,9.33E+07,4.78E+06,,20821,4.53E+07,,,0,0.213644,0.977585,0.74989,9.12E+07,0.00443441,2.10E+07,7.91E+07,2.11E+07,154,2.11E+07,2.01E+07,0.00439691,2.11E+07,49.9583,0.00205648,0.979327,,0,50.1664
GTEX-14H4A-0006-SM-5N9E3,,B1,,8.7,Blood,Whole Blood,13756,-170,,BP-47123,RNA isolation_PAXgene Blood RNA (Manual),12/13/2013,LCSET-4905,03/23/2014,TruSeq.v1,RNASEQ,,0.987437,780050,0.960358,,0.989045,0.771938,,19927,1,,76,,0.0043434,199,0,1.06E+08,0.0389022,251796,1.07E+08,5.00E+06,,19943,5.26E+07,,,0,0.18842,0.989045,0.763481,1.06E+08,0.00438714,2.32E+07,5.86E+07,2.34E+07,239,2.34E+07,2.08E+07,0.00436523,2.34E+07,49.9614,0.00235528,0.990653,,0,50.1658
GTEX-14ICK-0006-SM-5NQB5,,B1,,8.2,Blood,Whole Blood,13756,-172,,BP-47123,RNA isolation_PAXgene Blood RNA (Manual),12/13/2013,LCSET-4907,03/21/2014,TruSeq.v1,RNASEQ,,0.989805,733577,0.957124,,0.992945,0.829332,,18224,1,,76,,0.00244144,138,0,7.32E+07,0.0424818,382113,7.38E+07,9.78E+06,,18233,3.64E+07,,,0,0.127792,0.992945,0.823481,7.32E+07,0.00545521,1.59E+07,3.54E+07,1.61E+07,151,1.61E+07,1.55E+07,0.00394356,1.61E+07,50.0626,0.00518108,0.996084,,0,50.2312
GTEX-14ICL-0006-SM-5SIAB,,B1,,9,Blood,Whole Blood,13756,-117,,BP-47123,RNA isolation_PAXgene Blood RNA (Manual),12/13/2013,LCSET-5174,04/04/2014,TruSeq.v1,RNASEQ,,0.990636,625668,0.950359,,0.993035,0.760666,,20340,1,,76,,0.00227778,121,0,7.12E+07,0.0491091,257543,7.17E+07,6.84E+06,,20354,3.54E+07,,,0,0.189693,0.993035,0.755368,7.12E+07,0.0036011,1.56E+07,4.71E+07,1.57E+07,139,1.57E+07,1.38E+07,0.00293785,1.57E+07,50.0105,0.0035938,0.995435,,0,50.1328
GTEX-14JFF-0005-SM-7P8RF,,C1,,7.3,Blood,Whole Blood,13756,699,,BP-47516,RNA isolation_PAXgene Blood RNA (Manual),12/17/2013,LCSET-6759,04/06/2015,TruSeq.v1,RNASEQ,,0.887468,777130,0.95485,,0.928739,0.778101,,20278,1,,76,,0.00420686,105,0,7.69E+07,0.0435466,125585,8.28E+07,1.23E+07,,20285,3.66E+07,,,0,0.176749,0.928739,0.722652,7.69E+07,0.0120604,1.69E+07,1.21E+08,1.65E+07,110,1.84E+07,1.81E+07,0.00795911,1.84E+07,50.0596,0.00151606,0.970009,,0,49.3681
GTEX-14JG1-0006-SM-7SB6P,,C1,,9,Blood,Whole Blood,13756,688,,BP-47516,RNA isolation_PAXgene Blood RNA (Manual),12/17/2013,LCSET-6763,04/27/2015,TruSeq.v1,RNASEQ,,0.969146,474479,0.96939,,0.971294,0.732292,,19912,1,,76,,0.00278228,101,0,8.97E+07,0.0298266,161993,9.24E+07,1.04E+07,,19934,4.46E+07,,,0,0.237098,0.971294,0.711271,8.97E+07,0.00426866,2.07E+07,1.24E+08,2.09E+07,134,2.09E+07,2.09E+07,0.00352383,2.09E+07,49.9975,0.00175352,0.973442,,0,50.1834
GTEX-14JG6-0005-SM-9JGFV,,B1,,9.6,Blood,Whole Blood,13756,-112,,BP-47516,RNA isolation_PAXgene Blood RNA (Manual),12/17/2013,"LCSET-6805,LCSET-7181",05/06/2015,TruSeq.v1,RNASEQ,,0.984938,381755,0.962538,,0.986637,0.785229,,20378,1,,76,,0.00478228,93,0,6.23E+07,0.0369553,105412,6.32E+07,8.73E+06,,20389,3.10E+07,,,0,0.177308,0.986637,0.774736,6.23E+07,0.00454461,1.39E+07,4.95E+07,1.41E+07,110,1.41E+07,1.34E+07,0.00466365,1.40E+07,49.8397,0.00166917,0.988336,,0,50.2721
GTEX-14JIY-0005-SM-7MXVF,,B1,,7.9,Blood,Whole Blood,13756,733,,BP-47516,RNA isolation_PAXgene Blood RNA (Manual),12/17/2013,LCSET-6757,03/27/2015,TruSeq.v1,RNASEQ,,0.949109,183715,0.987711,,0.958647,0.807048,,17369,1,,76,,0.00325091,79,0,7.64E+07,0.0109838,187011,7.97E+07,1.32E+07,,17372,3.77E+07,,,0,0.180663,0.958647,0.773674,7.64E+07,0.00460693,1.82E+07,1.44E+08,1.83E+07,117,1.86E+07,2.18E+07,0.00392218,1.87E+07,50.109,0.00234588,0.968185,,0,50.0269
GTEX-14LLW-0006-SM-9QEGG,,C1,,6.7,Blood,Whole Blood,13756,1356,,BP-47516,RNA isolation_PAXgene Blood RNA (Manual),12/17/2013,LCSET-7199,06/06/2015,TruSeq.v1,RNASEQ,,0.961799,441119,0.98311,,0.964647,0.811048,,16871,1,,76,,0.00179922,150,0,1.05E+08,0.0159888,397204,1.09E+08,5.06E+06,,16877,5.22E+07,,,0,0.172062,0.964647,0.782376,1.05E+08,0.00418217,2.48E+07,1.55E+08,2.49E+07,191,2.49E+07,2.80E+07,0.00298718,2.50E+07,50.068,0.0036519,0.967496,,0,50.1467
GTEX-14LZ3-0005-SM-7MXUG,,C1,,7.2,Blood,Whole Blood,13756,791,,BP-47516,RNA isolation_PAXgene Blood RNA (Manual),12/17/2013,LCSET-6757,03/27/2015,TruSeq.v1,RNASEQ,,0.971126,258470,0.97615,,0.981278,0.781122,,18594,1,,76,,0.00336352,116,0,6.53E+07,0.023347,502341,6.66E+07,9.61E+06,,18605,3.23E+07,,,0,0.195028,0.981278,0.766498,6.53E+07,0.00486691,1.47E+07,5.02E+07,1.48E+07,125,1.51E+07,1.30E+07,0.00410744,1.51E+07,49.9893,0.00754448,0.99143,,0,50.2149
GTEX-14PHW-0005-SM-9KNTK,,C1,,8.3,Blood,Whole Blood,13756,1141,,BP-47732,RNA isolation_PAXgene Blood RNA (Manual),12/24/2013,LCSET-6806,05/12/2015,TruSeq.v1,RNASEQ,,0.952285,837859,0.9593,,0.953413,0.75117,,17891,1,,76,,0.00217524,89,0,8.73E+07,0.0391393,119195,9.15E+07,1.12E+07,,17901,4.34E+07,,,0,0.20813,0.953413,0.716175,8.73E+07,0.00333713,2.02E+07,1.73E+08,2.04E+07,125,2.04E+07,2.27E+07,0.0027555,2.03E+07,49.8847,0.00130219,0.954542,,0,50.3173
GTEX-14PHY-0006-SM-7SB7I,,B1,,9.3,Blood,Whole Blood,13756,-170,,BP-47732,RNA isolation_PAXgene Blood RNA (Manual),12/24/2013,LCSET-6763,04/27/2015,TruSeq.v1,RNASEQ,,0.983253,2.03E+06,0.88309,,0.985623,0.659089,,18815,1,,76,,0.00282186,87,0,7.25E+07,0.11594,108285,7.35E+07,8.27E+06,,18834,3.60E+07,,,0,0.224001,0.985623,0.649613,7.25E+07,0.00436543,1.50E+07,1.29E+08,1.53E+07,103,1.53E+07,1.42E+07,0.00359179,1.52E+07,49.7139,0.00147258,0.987993,,0,50.4989
GTEX-14PII-0005-SM-7RHFV,,C1,,8.2,Blood,Whole Blood,13756,433,,BP-47933,RNA isolation_PAXgene Blood RNA (Manual),01/06/2014,LCSET-6760,04/19/2015,TruSeq.v1,RNASEQ,,0.961924,476974,0.979197,,0.963667,0.81011,,17185,1,,76,,0.00242156,184,0,1.08E+08,0.0191674,194803,1.12E+08,9.51E+06,,17188,5.35E+07,,,0,0.169087,0.963667,0.780677,1.08E+08,0.00446484,2.55E+07,1.83E+08,2.54E+07,208,2.55E+07,2.91E+07,0.00344135,2.56E+07,50.1641,0.00174508,0.96541,,0,49.9919
GTEX-14PJ2-0005-SM-9JGFU,,C1,,9,Blood,Whole Blood,13756,290,,BP-47933,RNA isolation_PAXgene Blood RNA (Manual),01/06/2014,LCSET-6805,04/27/2015,TruSeq.v1,RNASEQ,,0.992165,690799,0.970712,,0.993378,0.742251,,21011,1,,76,,0.00252482,272,0,1.17E+08,0.028535,353723,1.18E+08,5.82E+06,,21039,5.82E+07,,,0,0.228461,0.993378,0.737336,1.17E+08,0.00353374,2.62E+07,6.79E+07,2.64E+07,271,2.64E+07,2.18E+07,0.00302866,2.63E+07,49.8704,0.00300953,0.994591,,0,50.1873
GTEX-14PJ3-0005-SM-9JGFT,,B1,,7.4,Blood,Whole Blood,13756,-116,,BP-47933,RNA isolation_PAXgene Blood RNA (Manual),01/06/2014,LCSET-6805,04/27/2015,TruSeq.v1,RNASEQ,,0.989355,1.04E+06,0.958061,,0.990566,0.81355,,19223,1,,76,,0.00230114,377,0,1.29E+08,0.0414661,441853,1.30E+08,6.48E+06,,19239,6.42E+07,,,0,0.144511,0.990566,0.805875,1.29E+08,0.00356363,2.83E+07,8.24E+07,2.87E+07,346,2.86E+07,2.77E+07,0.00293161,2.85E+07,49.8321,0.00339729,0.991776,,0,50.3367
GTEX-14PJ4-0006-SM-7RHFY,,B1,,8.3,Blood,Whole Blood,13756,-123,,BP-47933,RNA isolation_PAXgene Blood RNA (Manual),01/06/2014,LCSET-6760,04/19/2015,TruSeq.v1,RNASEQ,,0.983325,335875,0.97847,,0.985402,0.842376,,18234,1,,76,,0.00243334,198,0,9.41E+07,0.0209685,349362,9.55E+07,9.02E+06,,18243,4.69E+07,,,0,0.136094,0.985402,0.830079,9.41E+07,0.00427183,2.14E+07,7.43E+07,2.15E+07,207,2.16E+07,2.26E+07,0.00335065,2.15E+07,49.9551,0.00365675,0.987481,,0,50.2185
GTEX-14PJ5-0005-SM-9MQLO,,B1,,9,Blood,Whole Blood,13756,-7,,BP-47933,RNA isolation_PAXgene Blood RNA (Manual),01/06/2014,LCSET-6807,05/19/2015,TruSeq.v1,RNASEQ,,0.97673,552597,0.960232,,0.979378,0.786339,,18692,1,,76,,0.00598561,102,0,6.16E+07,0.0390004,113047,6.29E+07,7.67E+06,,18702,3.06E+07,,,0,0.173893,0.979378,0.770123,6.16E+07,0.00822706,1.37E+07,4.92E+07,1.38E+07,118,1.39E+07,1.26E+07,0.0071033,1.38E+07,49.8752,0.00179633,0.982027,,0,50.2043
GTEX-14PJ6-0006-SM-7P8RE,,B1,,8.6,Blood,Whole Blood,13756,-129,,BP-47933,RNA isolation_PAXgene Blood RNA (Manual),01/06/2014,LCSET-6759,04/06/2015,TruSeq.v1,RNASEQ,,0.919243,409340,0.970239,,0.951568,0.809195,,19590,1,,76,,0.00390346,118,0,8.19E+07,0.0285738,285806,8.60E+07,1.12E+07,,19602,3.94E+07,,,0,0.161044,0.951568,0.770005,8.19E+07,0.0101271,1.81E+07,7.70E+07,1.78E+07,137,1.93E+07,1.84E+07,0.00690955,1.93E+07,50.1081,0.00332182,0.983894,,0,49.6042
GTEX-14PJM-0006-SM-9JGHA,,C1,,8.8,Blood,Whole Blood,13756,418,,BP-47788,RNA isolation_PAXgene Blood RNA (Manual),12/30/2013,LCSET-6805,04/27/2015,TruSeq.v1,RNASEQ,,0.985492,545079,0.977123,,0.986609,0.754569,,21671,1,,76,,0.00230166,272,0,1.49E+08,0.0221653,343097,1.51E+08,7.58E+06,,21704,7.41E+07,,,0,0.222554,0.986609,0.744465,1.49E+08,0.00311036,3.38E+07,9.02E+07,3.40E+07,324,3.41E+07,3.05E+07,0.00270556,3.39E+07,49.8813,0.00227491,0.987727,,0,50.1546
GTEX-14PJN-0005-SM-9JGGF,,B1,,7,Blood,Whole Blood,13756,-188,,BP-47788,RNA isolation_PAXgene Blood RNA (Manual),12/30/2013,LCSET-6805,04/27/2015,TruSeq.v1,RNASEQ,,0.984824,911450,0.955388,,0.985909,0.801292,,19053,1,,76,,0.00221877,163,0,9.88E+07,0.0440542,382190,1.00E+08,5.08E+06,,19065,4.92E+07,,,0,0.154096,0.985909,0.790001,9.88E+07,0.00330953,2.19E+07,8.61E+07,2.20E+07,188,2.20E+07,2.20E+07,0.00276355,2.20E+07,49.9669,0.00381397,0.986994,,0,50.1449
GTEX-14PJO-0005-SM-9JGGY,,C1,,8.6,Blood,Whole Blood,13756,501,,BP-47788,RNA isolation_PAXgene Blood RNA (Manual),12/30/2013,LCSET-6805,04/27/2015,TruSeq.v1,RNASEQ,,0.964727,374271,0.986502,,0.96558,0.819555,,17615,1,,76,,0.0020884,189,0,1.24E+08,0.0125095,268179,1.28E+08,6.45E+06,,17619,6.15E+07,,,0,0.166947,0.96558,0.791346,1.24E+08,0.00290723,2.97E+07,2.10E+08,2.96E+07,253,2.97E+07,3.53E+07,0.00249745,2.97E+07,50.069,0.00209576,0.966432,,0,49.9158
GTEX-14PJP-0005-SM-7P8OM,,B1,,9,Blood,Whole Blood,13756,-36,,BP-47788,RNA isolation_PAXgene Blood RNA (Manual),12/30/2013,LCSET-6758,04/05/2015,TruSeq.v1,RNASEQ,,0.986735,569720,0.97231,,0.988432,0.840279,,18715,1,,76,,0.00300236,272,0,1.05E+08,0.0272586,927216,1.06E+08,1.55E+07,,18728,5.24E+07,,,0,0.132031,0.988432,0.830558,1.05E+08,0.00388085,2.35E+07,6.97E+07,2.39E+07,261,2.39E+07,2.36E+07,0.00344085,2.37E+07,49.75,0.0087087,0.990128,,0,50.3664
GTEX-14PK6-0006-SM-7PC1L,,B1,,9.2,Blood,Whole Blood,13756,-127,,BP-47964,RNA isolation_PAXgene Blood RNA (Manual),01/07/2014,LCSET-6762,04/10/2015,TruSeq.v1,RNASEQ,,0.97307,923729,0.968314,,0.975806,0.821613,,19828,1,,76,,0.00353311,271,0,1.28E+08,0.0305589,365758,1.31E+08,2.01E+07,,19842,6.36E+07,,,0,0.146701,0.975806,0.801735,1.28E+08,0.00522937,2.92E+07,1.48E+08,2.92E+07,276,2.93E+07,3.19E+07,0.00437886,2.94E+07,50.0428,0.00278942,0.978542,,0,50.0409
GTEX-14PKU-0005-SM-9KNTL,,B1,,8.9,Blood,Whole Blood,13756,-115,,BP-47964,RNA isolation_PAXgene Blood RNA (Manual),01/07/2014,LCSET-6806,05/12/2015,TruSeq.v1,RNASEQ,,0.980216,746895,0.960617,,0.981572,0.787375,,18943,1,,76,,0.00258768,157,0,9.95E+07,0.0387861,238880,1.01E+08,1.08E+07,,18959,4.96E+07,,,0,0.173242,0.981572,0.772865,9.95E+07,0.00402967,2.20E+07,7.61E+07,2.22E+07,193,2.22E+07,2.13E+07,0.00330768,2.21E+07,49.8838,0.0023561,0.982927,,0,50.2547
