probe,closestTSSstrand,distTSS,closestTSSgene,closestTSSpos
cg25262044,-,-1021,DKK2,107957470
cg05973813,+,-58,ACAT1,107992293
cg25137030,+,-218,C15orf48,45722807
cg13973436,-,-1497,TPPP3,67427401
cg02802298,+,75,DYNC2LI1,44001177
cg04290779,-,-11713,EDN2,41950354
cg26146971,+,12151,WNT10A,219745573
cg14224566,+,2938,NR4A1,52416615
cg14947789,+,145,FBXO34,55738138
cg15865178,+,87,AP5Z1,4815253
cg08718695,+,356,SNRNP25,103827
cg23465350,+,-422,LOC100130987,67085309
cg16219968,-,-133,SLC2A13,40499883
cg19475930,+,-40,DYNLL1,120907644
cg14181169,+,-295,INSM2,36003369
cg23344532,+,38,CCDC159,11457194
cg07187069,+,37650,GSX1,28366619
cg05655671,-,10,NIBAN1,184943640
cg06826808,-,59,TMEM167A,82373213
cg26272893,+,426,CTPS1,41445367
cg17958315,-,386,FBN2,127873938
cg13843773,+,-72,CFAP299,81256883
cg20536263,-,50983,SNORD140,41469725
cg06677010,-,81,MOCS2,52405587
cg03089244,+,-161,PSMD8,38865210
cg11854806,-,146,DYDC1,82116511
cg12590721,+,79,TAF3,7860467
cg16468079,-,29,MFGE8,89456610
cg19821582,+,-594,RNU6-7,32671250
cg01351177,+,-41,RPIA,88991190
cg14073481,-,9,RBL1,35724400
cg03153178,+,-183,CCAR1,70480995
cg14762010,+,188,ARCN1,118443123
cg20585088,+,-113,B3GNT5,182971040
cg07481335,+,-51,FUT8,65879447
cg20845805,+,-358,RHOU,228871225
cg08962682,+,353,RIMKLB,8850586
cg11155707,+,-706,ISM1,13201920
cg06310816,-,9089,GLI3,42276808
cg13576739,+,124,PFDN6,33257377
cg05953549,+,51,HERPUD1,56966053
cg11835512,-,-334,SPC24,11266458
cg13244707,+,-886,UQCRC2,21964681
cg21027152,+,-39,RNF138,29671836
cg07450135,-,29,HDAC11-AS1,13521553
cg03584788,+,-12418,ZBTB38,141043027
cg03980541,+,208,C16orf86,67700716
cg05198596,+,3599,CFAP73,113587528
cg09815911,+,-247,KIF22,29802071
cg17954165,+,-207,BUB3,124913917
cg07444779,+,-9,OTUB2,94492685
cg19143760,+,252,GYG1,148709326
cg23519930,+,-20381,PAPOLG,60983402
cg05815958,+,138,MARK2,63606581
cg14510947,+,109,SNORD104,62223437
cg27174311,-,-581,KRAS,25403863
cg18245365,+,-109,FAM120B,170615845
cg17342064,-,8164,ALOXE3,8021621
cg22033559,-,-477,PHF23,7142776
cg13825663,+,-159,STARD7-AS1,96874153
cg04977109,+,-98,NFE2L1,46125720
cg03033572,+,-14028,MGST2,140586972
cg21633795,+,-273,PFDN4,52824625
cg04317492,+,25637,TYRO3,41852169
cg14334911,+,80,KANSL1-AS1,44270938
cg20185360,-,135,SLC18B1,133119776
cg18513123,+,-52,SPCS2,74660310
cg22741823,+,188,SGMS2,108746087
cg23064060,+,124,IFT122,129159066
cg15846641,+,-173,FOXN2,48541437
cg06900856,+,-36,PMS1,190649175
cg23259381,+,-15,PRIMPOL,185570891
cg15717656,-,459,CCDC142,74710125
cg11091439,-,83,ADA,43280340
cg03342366,-,51,EFCAB14,47184786
cg03405315,-,38,STK33,8615775
cg17296482,+,-739,CCND2,4382927
cg25438762,+,-185,TGFBR2,30647993
cg18671774,+,42,CAB39,231578262
cg14500375,+,-145,OPA1,193310996
cg03709850,+,-148,ATP5MC1,46970148
cg24503257,+,-167,SMAP1,71377585
cg00278028,-,910,MN1,28197744
cg02767601,+,4667,BMI1,22610027
cg24226687,+,-192,MTG2,60758083
cg11401682,-,-18,NEU1,31830598
cg24818434,+,117,SLC25A44,156163894
cg02675375,+,-184,MND1,154265800
cg07914959,-,241,BACH2,91006562
cg22719559,-,-111,DNAAF9,3388316
cg26580134,-,3582,BCL11A,60780633
cg25257644,-,439,PIP4K2A,23003037
cg08701047,+,986,LINC01163,130084213
cg12356890,+,-107,CELF2,11059834
cg21111868,-,-413,EGR4,73520676
cg01031146,+,74,POLR2H,184081148
cg10854292,+,-199,RAD51AP1,4648055
cg03596181,-,-30971,ANK1,41655140
cg00929878,-,298,NOL8,95087632
cg21721865,+,-411,UFM1,38923987
cg00788362,-,0,FLOT1,30710464
cg02715115,-,-310,PRMT9,148605314
cg16094412,+,-149,RNF207,6266178
cg00119011,+,-41,GTF2F2,45694644
cg04568116,-,-95,PDE2A,72353487
cg09238957,+,-150,ORC6,46723570
cg25290657,+,-81,MYO9B,17186586
cg16442574,+,-82,ZNF341,32319801
cg14408590,+,-18,ENTPD7,101419265
cg12188482,+,-127,CYB5D2,4046990
cg16739845,-,-63874,PPP4R3A,91976898
cg25297277,+,470,GTF3C4,135545850
cg14165789,+,-6,IGF2R,160390113
cg19695335,+,79,ZNF337-AS1,25604680
cg12583659,+,-44,IL12A,159706621
cg16404342,-,-50,COX19,1015185
cg17807131,+,-6701,MSX1,4861391
cg22029824,+,139,C4orf48,2043721
cg26317056,+,143,NNT,43602776
cg25239251,-,-13,GSS,33543609
cg26332715,+,-44,GLS,191745546
cg21053015,+,59,SYNGR1,39745995
cg25228755,+,332,PLS1,142315234
cg02708799,+,65417,STX11,144471653
cg13683516,+,-59,NABP2,56618125
cg15877906,+,-111,ATF1,51157883
cg10780647,+,-355,AP5S1,3801193
cg07318658,-,247,MTMR4,56595241
cg06818786,-,-113,XNDC1N,71639640
cg22251124,+,-68,PXYLP1,140950666
cg26094299,-,4868,DHH,49488584
cg10000424,+,-123,WNT6,219724527
cg22260950,+,-55,MAF1,145159363
cg19099833,-,-39,CSRP1,201476251
cg16466314,+,-54,SNHG9,2014996
cg10987792,+,-119,ATG10,81267841
cg11775731,+,-117,NBEAL1,203879597
cg19396601,+,262,ADGRA1,134901427
cg08680689,-,-171,ELOF1,11670045
cg26473651,+,309,CHAT,50822082
cg11948688,+,376,CLN8,1711954
cg10821044,-,52,GLOD4,685520
cg19685976,-,-576,BLVRB,40971652
cg14093368,-,-257,BAZ1B,72936623
cg24802771,+,8,ZNF141,331602
cg06101274,+,487,ITPRIPL2,19125285
cg20353692,+,-12,BLOC1S6,45879576
cg02308097,-,55,PCYT2,79869051
cg00124432,-,-104,HCG17,30293911
cg09220838,-,-357,GOLGB1,121468588
cg27620230,+,81,SMIM8,88032305
cg09698548,-,-31,CA8,61193959
cg25499017,-,-38,CIT,120315124
cg19965941,+,-38,MOB4,198380277
cg20071498,+,-105,MAK16,33342699
cg22608147,-,-148,NUP54,77069550
cg03651583,-,-195,PHC2,33815500
cg17656509,-,-6,TAX1BP3,3571872
cg12262427,+,-266,PTPN12,77166611
cg08258259,-,313,TMEM200B,29450415
cg18358754,-,-113,GEMIN5,154317771
cg19521934,+,-73,ZSCAN9,28193052
cg14414515,-,-872,GPR176,40212467
cg05404701,-,-233,PAWR,80084744
cg24713878,-,-32,P2RX5,3599449
cg23078896,+,-1398,RAP2B,152880014
cg24464397,-,-64,ZNF667,56988714
cg18239372,-,-396,DLL1,170600166
cg13741871,-,18,PSMA1,14541932
cg21577705,-,181,MBOAT7,54693431
cg23576473,-,-260,SLC35B1,47785326
cg13226430,+,-10,CYB5D1,7761320
cg22019999,-,1135,ELF1,41635522
cg14933899,-,-133,MTERF4,242041702
cg25398598,+,-283,PPP2R5D,42952307
cg11108432,+,163,PINX1-DT,10697535
cg23279887,-,-194,TMEM161A,19249287
cg27223727,+,-38,PCP4L1,161228534
cg26828218,+,206,CTDSP1,219264590
cg23847701,+,69124,MGST2,140586972
cg13855472,+,-153,BROX,222886716
cg08039050,+,225,SMIM13,11094066
cg19437142,-,-303,SYCE3,51001348
cg04067139,+,214,GLYATL1,58672953
cg22429776,+,-82,CAPZA1,113162453
cg03354519,-,-366,ANXA5,122618135
cg23407507,-,-14,CXCL12,44880545
cg10562791,+,-26,STX3,59522848
cg02299205,-,-42,M6PR,9102241
cg21859337,-,23,IGSF3,117210355
cg22468868,-,72,RNFT1,58042101
cg13109558,+,-30,NUBPL,32030609
cg26052553,-,-281,RFC2,73668729
cg22055932,-,188,RAVER1,10444205
cg14132884,+,-8,YLPM1,75230018
cg17278115,-,353,NEK1,170533734
cg02395441,+,-372,CIC,42788620
cg23481221,-,-191,TOMM34,43589038
cg25126321,-,-16955,RBM4B,66445358
cg18484507,-,26,TMEM229B,67982202
cg09135113,-,-158,NDC1,54303969
cg16413619,-,-220,HECTD1,31676999
cg09371047,+,-24,NLRP14,7041709
cg20140173,+,-196,EFNA4,155036215
cg18780412,-,-361,PEX5L,179754725
cg17220042,-,-14,E2F1,32274191
cg22105146,+,322,TMEM165,56262123
cg19139554,+,-98,RBM5,50126351
cg22685369,+,-26,SLC35F3,234040421
cg26978691,+,281,TAF5,105127732
cg18003214,-,-213,GBX1,150864781
cg20848390,+,-39,SDCBP,59465819
cg27280256,-,858,CLASP2,33759746
cg04550737,-,366,TBX15,119530966
cg25260653,+,-234,HABP4,99212450
cg00910052,+,1654,TGFBR3L,7979714
cg21890726,+,-86078,PIAS1,68346652
cg02323652,+,48,MIR193BHG,14396100
cg01975461,+,137,STK19,31940139
cg13478031,-,-47,MBD1,47808137
cg26292521,-,-384,GATA3-AS1,8095447
cg05436064,+,-483,HSF4,67197663
cg25121810,+,-407,EIF5,103800573
cg08190400,+,-50,NTN1,8924826
cg05621091,+,146,ELP3,27950655
cg03046746,-,180,MRPL47,179322426
cg03441514,-,67,GALE,24127244
cg10639412,-,-318,FAM98A,33824366
cg22395192,-,-94,TENT5B,27339341
cg04913657,-,12,C16orf87,46865092
cg23041332,-,-183,IRF2,185395704
cg10999312,-,-499,NKX2-1,36989437
cg21816336,-,251,RNF149,101925163
cg08047293,-,-175,TERF2,69419910
cg16738145,-,21,MNS1,56757335
cg20648939,-,-55,FAM210A,13726557
cg12194463,-,240,RP9P,32982820
cg16357866,+,188,SEPSECS-AS1,25162293
cg00347616,+,-94,ACTR3,114647510
cg15081882,+,201,PRRC2A,31588491
cg16592150,-,-176,MAP3K7,91296791
cg00792783,+,432,PLCL1,198669316
cg23881902,-,-221,HDLBP,242212249
cg18971416,-,-88,ENKUR,25305087
cg01308827,+,-19,ETV2,36132646
cg14467103,-,-35,GEMIN5,154317771
cg07917502,-,-33,PREPL,44589001
cg01067724,-,207,CCDC102A,57570483
cg10308906,+,11590,LOC105371031,89943401
cg10231742,-,-45,WDR77,111991878
cg10762939,-,63,VIPAS39,77923944
cg17865752,-,532,CCNT2-AS1,135676176
cg22377939,-,-147,ANP32E,150208460
cg14354472,+,-255,NTNG2,135037444
cg13622821,-,1392,CLIC1,31704307
cg04504182,-,90,KDM5B,202777549
cg23613205,+,56,SCCPDH,246887710
cg04534122,-,161,NUP155,37371208
cg17623341,-,289,E2F1,32274191
cg14767790,+,808,COL26A1,101006155
cg13261989,+,-49,POLA2,65029432
cg19168631,+,-141,DAAM1,59655384
cg25242587,+,-66,NIFK-AS1,122407229
cg00742603,-,-3,DBNDD1,90086298
cg21736108,+,391,SELENOW,48281959
cg08059820,+,-338,POLR2H,184081148
cg08856919,-,-265,RERE,8483892
cg27337492,+,210,MAU2,19431637
cg22168369,-,-157,MCOLN2,85462796
cg09898138,+,-489,BICDL1,120427039
cg06021447,+,207,SETMAR,4345052
cg19350420,-,454,LINC01315,42765214
cg05843387,-,100,RNF103,86850988
cg23772500,+,430,PSMD3,38137059
cg19589071,-,56,IMPDH1,128050036
cg03752689,-,-281,C1orf74,209957904
cg08803571,+,-45,RPP14,58292246
cg15015757,-,209,ANXA2R,43043349
cg16170181,+,420,GAB1,144258028
cg05879380,-,-7,MICAL1,109777094
cg17932836,+,36,COPS7B,232651154
cg01188685,+,14,KIRREL1,157963434
cg08267698,-,-189,CUTA,33385884
cg14585694,+,-233,OAF,120081739
cg15083887,-,-148,PARS2,55230196
cg26739280,+,-292,ST8SIA2,92937110
cg13591723,-,1421,SLC38A2,46766556
cg24539668,+,-62932,BCYRN1,47562453
cg17108859,-,-191,SRP68,74068598
cg26483359,-,-71,ZNF34,146012702
cg14160807,-,47,BLCAP,36156278
cg04197051,-,341,PIGM,160001780
cg09775785,-,445,KLF16,1863578
cg11298989,+,19,LENG8,54960834
cg12440566,+,-168,ZNF703,37553299
cg07749724,+,339,NCAM1,112832141
cg01538066,+,-226,ZNF749,57946692
cg23401212,-,-55,LOC105372493,1099091
cg21550360,+,197,ADPGK-AS1,73075175
cg04039925,+,-111,LEPROTL1,29952923
cg05864191,-,421,TGFB3,76449354
cg13735453,-,465,CLMN,95786245
cg10583414,-,6623,HDAC7,48213686
cg02443818,-,-8,RBM33-DT,155437100
cg02631622,-,891,SIAH1,48419324
cg20051444,+,5525,CARNS1,67183148
cg27446566,-,-169,TXNDC9,99952796
cg26917873,-,221,DHRS3,12678216
cg11582546,+,-125,WIPI2,5229863
cg02334620,+,326,TMBIM6,50135651
cg03017863,+,80,COMMD1,62115859
cg21715963,+,-125,CIART,150254963
cg15996499,+,226,AGPS,178257500
cg25820361,-,18,CLK1,201729381
cg01925962,+,-165,MAPRE3,27193504
cg07148880,-,54,KIF21B,200992842
cg15797801,+,330,SRRT,100472724
cg17929492,+,70,MAFK,1570337
cg16794596,+,427,AASDHPPT,105948388
cg16091845,+,-217,SMARCA5,144434854
cg25444556,-,-14482,MIR3141,153975632
cg27150788,-,-220,SIK1,44847011
cg01451391,+,-21,HLF,53343582
cg19269412,+,430,OTX1,63276869
cg08106184,-,-325,ESR2,64805331
cg09411168,-,-21,TNPO2,12834746
cg02576610,-,-216,ADAT1,75657179
cg13836638,-,129,TCF20,42679933
cg01678339,-,1554,IGF2BP2,185542830
cg05846707,+,-542,DDX50,70661070
cg20021244,-,68,APBB3,139944183
cg03214308,+,-902,NKD1,50582306
cg13184723,-,32,TAPT1,16228094
cg04236901,-,13,FBXO8,175204818
cg23449780,+,38,JAK2,4985085
cg18783212,-,10023,PLA2G1B,120765582
cg26886544,-,-92,PDZD9,22012437
cg23956791,+,96,RNASEK,6915942
cg18181936,-,-200,HIGD1A,42845982
cg05264454,-,119,PDE5A,120549959
cg00328418,+,171,C17orf97,260115
cg01934142,-,-44,RFC1,39367982
cg12638728,-,332,ZC3H8,113012619
cg19075208,+,6,ARSK,94890804
cg00299052,+,-86,STT3A,125462746
cg22548015,-,305,PDRG1,30539849
cg01556091,-,-23,TUBD1,57970304
cg26156860,+,-556,KCTD15,34287774
cg08889585,-,-47,CEP104,3773775
cg13432616,+,-19,DSE,116575333
cg26170805,-,646,EPB41L3,5630662
cg00464056,+,-44,PXMP2,133264172
cg08899632,-,-682,ZFP64,50808318
cg18078696,+,-278,PAFAH1B2,117015002
cg13442820,-,-19917,TCF3,1652614
cg10389229,+,210,IRAK3,66582993
cg07952985,-,-5,LOC101929762,120133799
cg12637942,+,-43,NEAT1,65190268
cg02986494,+,-294,MIDN,1248581
cg04938255,+,-27,MIR760,94312387
cg01124961,-,33,INTS9,28747486
cg20644253,-,-89,SUGP1,19431318
cg03080377,-,-386,USP3-AS1,63893026
cg13348246,+,30890,MYO18B,26138154
cg00459289,+,-90,ACTR3B,152456836
cg12810183,-,38,PAPOLA-DT,96968663
cg11225935,-,8,KDM5A,498486
cg10282345,+,154,FOS,75745530
cg02595263,-,-124,MRPS28,80942494
cg13355248,-,535,NPTX1,78450407
cg19922757,+,-520,ARID3A,926034
cg02172790,+,-405,AHSA2P,61404552
cg18884940,+,220,SNHG26,22893858
cg12470625,+,42,CA2,86376235
cg15487992,+,-179,UBL5,9938593
cg05298461,-,-113,UQCC1,33999776
cg20713852,+,-80,PROSER3,36249076
cg19429286,-,0,ZNF699,9420514
cg24812749,+,-68,RNF146,127588008
cg14705524,+,30,CYB561D2,50388292
cg03276408,+,-8987,SOX1,112721462
cg11771234,+,3030,ADCYAP1,905366
cg08274661,-,469,CDC27,45266661
cg11517045,+,701,MTHFD2,74425741
cg11790217,+,-168,PIAS1,68346652
cg09810750,-,-172,VSIR,73533277
cg23314742,-,-45,MMUT,49430966
cg08769276,-,70,UFSP2,186347118
cg02562109,+,33,TMEM170B,11537981
cg12016209,-,15,C19orf47,40854424
cg01539036,+,-71,NTSR1,61340187
cg07139265,+,251,ROPN1L,10441990
cg00466364,-,-903,ELAVL3,11591861
cg13730743,-,-10883,SPACA6-AS1,52196709
cg15063322,-,-166,SNHG28,159824827
cg16431687,-,27,POC1B,89919824
cg17006436,+,54,SZT2,43855569
cg03150463,-,-108,PNPLA8,108166579
cg06786153,-,31512,TBC1D2B,78358523
cg11065506,-,-36,SERPINE2,224903357
cg26933063,+,-126,HS3ST4,25703279
cg22385623,+,14724,RNVU1-6,145382756
cg11416367,+,625,SEC14L1,75137050
cg17500119,+,-118,ZBTB48,6640053
cg19646327,+,438,RIMKLA,42846462
cg15689967,-,-72,H1-3,26235215
cg23305502,+,-150,NADSYN1,71164248
cg11873613,+,359,PRORP,35591757
cg00846720,-,-22,NEK1,170533734
cg04117853,+,-152,OCIAD1,48833104
cg03639603,-,-81,H2AC15,27806153
cg16742664,-,-241,WARS1,100841684
cg12247306,+,32,SOCS7,36507726
cg07808231,+,4073,LTBP4,41107274
cg09354021,-,42,MUL1,20834644
cg25176742,-,142,GABPB1,50647395
cg27099978,-,-107,SLC26A6,48672894
cg14859749,+,140,CCDC157,30752995
cg08586066,+,-150,GMPR,16238817
cg06173626,-,20,ICOSLG,45660826
cg05098230,+,-61,GATAD1,92076795
cg02507578,-,-829,NFE2L2,178129455
cg27351321,+,473,ABHD2,89631686
cg07336097,-,-364,TONSL,145669823
cg23164993,+,60,AK4,65613234
cg17057965,+,61,FBXO28,224301812
cg05713782,+,-42,KDM4D,94706872
cg23172884,+,-101,HECTD2,93170100
cg12113932,+,-541,RBCK1,388942
cg23868899,-,-32,FBXO32,124553446
cg16982328,+,-136,HECA,139456216
cg04086019,+,-247,ABRACL,139349881
cg22180994,-,385,THYN1,134123246
cg07998290,+,504,MSRA,9911801
cg13580321,-,492,TMED5,93645970
cg02774070,+,22,KCTD7,66093867
cg03039399,-,56,CREBBP,3930714
cg14033686,-,-73,IARS1,95055979
cg08475931,+,43,GARS1,30634350
cg15226501,+,114,UTP4,69166551
cg11497952,+,1326,HELT,185939643
cg02284150,+,7303,SYNPO,149997205
cg07768107,+,3293,RHOH,40198650
cg07374247,-,28,H2AC17,27860963
cg18094551,-,-18,ARVCF,20004346
cg12311052,-,777,PFN2,149688682
cg20179892,+,130,RDH10,74206836
cg10180764,-,-400,IWS1,128284065
cg03825790,-,-997,JAG1,10654647
cg19911446,-,-74,ZNF337,25677489
cg16889556,-,395,PFN1,4851825
cg06102790,-,-61,SLC25A30,45992508
cg06285648,+,110,CGNL1,57668702
cg14128098,-,-26,ABLIM2,8160540
cg13583183,+,646,ACER2,19409006
cg18086187,+,-127,RBP7,10057285
cg23841903,-,752,SH2D5,21059196
cg09682913,+,1190,LBH,30454399
cg02384565,-,-15,MEN1,64578158
cg22947196,+,21,HHIPL1,100070874
cg22641425,+,-16012,UPK3A,45680829
cg13069910,-,21,CSRNP2,51477379
cg27244585,-,-104,MIR1915,21785570
cg05308484,+,-379,TIGAR,4430378
cg09638001,+,90,CTSA,44519973
cg02693249,-,572,ELK4,205601139
cg21064939,-,-56,SGK1,134496004
cg24441068,+,-97,EIF3M,32605376
cg16273041,+,347,NDUFS3,47600625
cg05363335,+,-91,LINC00265,39773166
cg24429831,+,234,RBM42,36119937
cg05372242,-,-552,SFTA3,36982990
cg06263193,-,-204,DSC3,28622708
cg17955420,+,400,RAD51,40987371
cg01892346,-,-138,ARHGAP17,25026690
cg18873037,+,-237,NUB1,151038897
cg10445911,+,-3202,ZBTB7B,154975124
cg25076767,+,32,NFATC4,24836116
cg23427565,+,-161,ATG4D,10654579
cg26363634,+,27,AMPD2,110162458
cg02454483,-,-442,NAP1L4,3013559
cg01579289,-,-49507,PAIP2B,71454233
cg15437432,+,-217,TMED9,177019203
cg15168842,+,196,ZNF707,144766648
cg05721830,-,-155,MEAF6,37980367
cg07808661,-,106,LINC00526,5238028
cg21881796,+,-65,EHD2,48216678
cg24687723,-,-189,TMEM184B,38669016
cg23092250,+,-211,ASPHD2,26825225
cg09203114,+,-99,KCNK15,43374505
cg05001882,-,-95,JAG2,105635113
cg11694752,-,-145,MAP6,75379479
cg12912258,+,89,SLC22A4,131630086
cg02994162,-,-166,IGSF9,159915403
cg05933803,+,-77,TP53I13,27895718
cg06932521,-,-134,DERL1,124054542
cg01383546,-,-50,PDF,69364491
cg25264370,+,-57,P4HTM,49027340
cg18036140,-,16776,PCDH1,141245767
cg09188300,+,-148,EIF4EBP1,37888051
cg02469210,+,193,SH2B3,111843726
cg08184640,-,90,DICER1,95624239
cg13035437,+,-192,GARS1,30634350
cg25222014,-,-329,C10orf88,124713743
cg01109508,-,-210,ECHS1,135186858
cg16887890,+,-340,WNT10A,219745573
cg16862315,+,-118,ACADVL,7123256
cg26720653,+,-377,MIR548AL,74110281
cg09984545,+,218,SAMD5,147829825
cg26680549,+,-77,AAR2,34824399
cg04317543,+,15,LMNA,156084501
cg27315979,+,-264,COLGALT1,17666457
cg11639849,+,225,EIF4EBP3,139927246
cg04725234,+,-182,TMEM38B,108456821
cg00129269,+,-242,ARF5,127228464
cg21573582,+,-234,AQP11,77300997
cg08794192,+,-4,LOC105372653,48532358
cg09652652,+,2234,FAM43A,194406611
cg27471092,-,-147,RNF126,663214
cg20846042,-,-59,DPH3,16306450
cg19840066,-,-112,SCARF2,20792112
cg13871588,+,-38,KLHDC3,42981986
cg10635065,+,-55,SNHG32,31802692
cg10747042,+,451,TSC22D2,150126084
cg04228935,-,12465,RUNX1-IT1,36411723
cg01511884,-,48,SSR2,155990742
cg06060338,-,-79,ELOC,74884522
cg16197653,-,297,WDR27,170102125
cg13737559,-,-580,RPP25L,34612094
cg25341275,-,696,H2BC4,26124154
cg24703125,-,-62,ANKRD27,33166086
cg04417471,+,31,PRPF31,54619133
cg21434563,-,248,MAP3K4-AS1,161413374
cg03146073,-,99,ZNF445,44519162
cg14924176,-,-103,GFPT1,69614359
cg00230665,-,488,PGAP1,197791431
cg15484161,-,-644,IRF2BP2,234745924
cg07135601,+,-19,FAM216A,110906649
cg02639929,-,-135,CNIH1,54908092
cg22151941,+,-1330,HIC1,1958396
cg04421280,-,-127,RASA3,114898098
cg12276535,+,-195,USP39,85843308
cg17779456,+,-43,RRM2,10262865
cg04318476,-,-214,AVPI1,99446998
cg00792172,-,-358,ENSA,150602088
cg18631948,+,221,FANCM,45605132
cg08037059,+,128,ZNF326,90460668
cg03271965,+,89,TMEM216,61160058
cg04599652,-,-219,PPP2CA,133561764
cg02203542,-,721,NRSN2-AS1,305896
cg09617296,+,-31,TM9SF2,100153725
cg05350266,-,131,TMEM234,32687954
cg13520315,-,-20,RABGGTA,24740833
cg17332016,+,625,SLC47A1,19437166
cg23814144,+,6,DISP1,222988422
cg21310499,-,-117,DNAJC28,34863708
cg23245369,+,-319,ATP5MG,118272320
cg19080481,+,-41,JMY,78531953
cg10609984,-,-18,ZNF25,38265575
cg14946028,-,-145,SLC10A7,147443092
cg12938135,-,494,PSPC1,20357085
cg15394648,+,29,PSMA6,35761522
cg05375668,+,-45,USP3,63796791
cg12966283,+,-19,ZNF133,18269170
cg25029022,-,-3,TRMT1L,185126085
cg06047473,-,-73,TCEA1,54935008
cg01861031,+,-44,USE1,17326165
cg13297007,+,127,IFT52,42219576
cg25575553,+,-114,CDK5RAP3,46048478
cg12026729,-,-536,LOC100192426,8367032
cg02062191,+,-3,C9orf163,139377946
cg07320819,+,71,RB1,48877886
cg08006166,-,2,TBL1XR1,176914266
cg10374976,+,59484,WSB1,25621139
cg09819033,+,-178,CREBL2,12764809
cg02941903,-,-81,HDAC11-AS1,13521553
cg16168624,-,-225,ERICH1,681224
cg10901968,-,-393,SLC6A4,28562715
cg05917732,+,-78360,SYNE1-AS1,152701664
cg17393362,-,-83,SLC26A6,48672894
cg11297107,+,-11,RYR1,38924330
cg04483336,+,-99,RPAIN,5323501
cg18346784,-,102541,CASZ1,10856703
cg15822387,+,-45,STRIP1,110577245
cg01745629,-,12,UBE3D,83775560
cg21351102,+,-185,MYL12A,3247479
cg01439669,+,206,HEXB,73935847
cg08395706,-,322,ZNF668,31084823
cg15264083,+,53,CCND2,4382927
cg01410951,-,-33,METTL27,73256846
cg27121529,+,-33,ZKSCAN5,99102284
cg02115850,+,108,CDT1,88870196
cg04844987,+,91,ACSL5,114135962
cg10556076,-,-240,TADA1,166845501
cg08172935,+,-17,AMZ2,66244144
cg11367297,+,869,TRAPPC10,45432189
cg12345955,-,-757,BCL11A,60780789
cg22796860,+,24193,FLRT1,63804153
cg02422694,-,-78,HOXB4,46655712
cg01878788,+,66,RING1,33176276
cg14583869,-,8602,CCL21,34710133
cg24929567,+,139,RIOK1,7390040
cg23236404,-,-170,STMN1,26232536
cg24580588,-,-9,STARD10,72505092
cg08754610,-,21,THOC5,29949746
cg13193757,+,-80,RNF114,48552933
cg25476312,-,-323,TMEM163,135476570
cg25418831,-,186,VPS13A-AS1,79792833
cg01175563,+,-79,ARFGAP1,61904164
cg14576616,+,35,CYP51A1-AS1,91763876
cg04240589,+,-71,PRPF40B,50017343
cg07874155,-,-43,CTNNA1-AS1,138089613
cg06132324,+,125,POLH,43543921
cg27114661,+,-54,SEPTIN2,242255339
cg01729862,-,-906,MRPS34,1823135
cg05208581,+,-138,WDFY2,52158597
cg14294444,-,367,HSPA5,128003622
cg10188299,-,53,TMEM229B,67982202
cg20634234,-,-34,FARSB,223520811
cg14764512,+,59,NDUFAF3,49058516
cg27183602,+,-118,DCUN1D4,52709318
cg07177430,-,-198,ZNF195,3400376
cg22118604,-,89,CACNB1,37353922
cg23215929,-,-109,ANAPC1,112641770
cg06501803,+,241,PPP1R21,48667904
cg17083853,-,448,SURF1,136223361
cg03552156,-,-588,BCL6,187463256
cg26213496,-,-380,EIF4A3,78120927
cg03433560,-,0,MIR4442,25706430
cg01485165,+,-9,BCAS4,49411430
cg12113561,+,-1309,MLLT6,36861525
cg07540722,+,-94,GMCL1,70056791
cg05291427,+,71,GRK3,25960641
cg11112226,+,-222,LINC00265,39773166
cg01627046,-,20,DHX37,125473677
cg06463589,+,-40,MT1E,56659692
cg22669260,+,353,DCLK2,150999596
cg19174706,-,-11282,ZNF311,28973389
cg04269065,-,-108,PURG,30890872
cg07264777,-,1364,SPTBN2,66496687
cg02424630,-,-32,TAOK3,118810712
cg15768568,-,-74,TIMM10,57298227
cg26464887,-,-4,LINC00899,46440748
cg17133762,-,-62,MRO,48346386
cg05526886,+,92,RHBDD1,227700769
cg22109320,+,56,LOC101929140,41707063
cg12180984,+,-18445,ESRRB,76837613
cg07063082,+,-224,PDCL3,101179454
cg09307868,+,-24,ZNF567,37178513
cg25415650,-,117,RNF6,26795979
cg05281340,+,-7318,SLC2A11,24199120
cg14580502,-,26,CYP27C1,127977875
cg07023926,+,200,LOC645967,150038756
cg26681912,-,-113,SLC19A2,169455208
cg07523536,-,-101,C15orf40,83680391
cg07042267,+,-1210,IGF1R,99191767
cg13510114,+,-224,ZBTB1,64971487
cg13678070,-,-51,GLO1,38670921
cg25314840,-,29,WAC-AS1,28821283
cg02007933,-,616,SPATA2L,89768113
cg10129201,-,339,APP,27543088
cg00914462,-,55,HNRNPU,245027827
cg06339712,+,-140,KMT2A,118307206
cg15117548,-,-1190,BHLHE41,26277970
cg26910651,-,486,PPP2CB,30670334
cg06768655,+,-249,SPAG1,101170814
cg00232685,-,39,NIPSNAP1,29977102
cg24023859,+,426,THEM6,143808640
cg23359394,+,-91,DOK5,53092131
cg09809242,-,-423,NIFK,122494451
cg07436991,+,-153,BTBD3,11871464
cg24424381,-,128,PEX11A,90233985
cg17937683,+,-56,ZNF277,111846749
cg15941057,-,-61,FAM222B,27169808
cg06041156,-,35,PLA2G12A,110651226
